Data,Parameter,Amsterdam,Austin,Bielefeld,Bologna,Bonn,Leuven,London,New York,Reading,Southampton,Stockholm,Wuerzburg
Eye,"Eyetracker Eye-Camera Distance (X, Y, Z)",,,,,"(0, 0, 550) mm",,"(0, 0, 398) mm",,"(0, 0, 550) mm",,"(0, 0, 700) mm","(0, 0, 550) mm"
US,US electrode location,forearm,forearm,forearm,wrist (median nerve),forearm,right inner wrist (see image),forearm,forearm,right wrist,left write,forearm,forearm
US,US electrode type,surface bar electrodes consisting of two stainless steel disks of 9 mm diameter and 30 mm spacing,surface bar electrodes consisting of two stainless steel disks of 9 mm diameter and 30 mm spacing,surface bar electrodes consisting of two stainless steel disks of 9 mm diameter and 30 mm spacing,Disposable Pre-Gelled Surface Electrodes (15mm x 20mm),surface bar electrodes consisting of two stainless steel disks of 9 mm diameter and 30 mm spacing,Stimulating bar electrode (two 8mm stainless steel electrodes with right inner wrist (see image),WASP,EL503,Stimulating bar electrode,biopotenial (EL503 from biopac),surface bar electrodes consisting of two stainless steel disks of 9 mm diameter and 20 mm spacing,surface bar electrodes consisting of two stainless steel disks of 9 mm diameter and 30 mm spacing
US,US stimulator,"Digitimer DS7A, Digitimer, Welwyn Garden City, UK","BIOPAC Systems, STM200-1 ","BIOPAC Systems, STM200-1 ","Digitimer DS7A, Digitimer, Welwyn Garden City, UK","Digitimer 7A (Welwyn Garden City, UK)","Digitimer DS7A, Digitimer, Welwyn Garden City, UK","Digitimer DS7A, Digitimer, Welwyn Garden City, UK, serial number:  DS7A-1008-2006-M383","BIOPAC Systems, STM200-1 ",Inbuilt Isolated Stimulator in the 26T,"BIOPAC Systems, STM200-1 ",EL350,"Digitimer 7A (Welwyn Garden City, UK)"
RESP,Channel number in data file,,,,,3,,3,,,,,
RESP,Modality Name,,,,,RESP,,RESP,,,,,
RESP,units,,,,,mV,,mV,,,,,
RESP,Sampling Rate,,,,,2000,,2000,,,,,
RESP,Manufacturer,,,,,Biopac Systems,,,,,FIL,,
RESP,Manufacturer Model,,,,,ECG100C,,,,,Breathing Belt Transducer  (acquired using CED 1401 microcontroller),,
RESP,Manufacturer Device Serial Number,,,,,1711008598,,,,,,,
RESP,Software Version,,,,,Biopac AcqKnowledge 5.0.2,,Spike2 v2,,,,,
RESP,Placement,,,,,Chest,,Thorax,,,,,
RESP,Sensor Type,,,,,Belt,,Belt,,,,,
